bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
45,0.9958740120874011,0.9574985180794311,0.03843642459476639,0.05945783279109276,-0.23569328321840965,-0.05226534223763199,3.328737090206888,2.012090974493492
46,0.992556281771968,0.9769413159454653,0.04358943919619469,0.06249725430384005,-0.04964918517398197,-0.42865878121450646,2.7645265918358364,2.1836199124856903
47,0.9965218382939903,0.9720806164789568,0.0317784266249066,0.05867772459520925,0.2136051234597371,-0.11269376373116884,3.0303967794106064,2.1307796375371932
48,0.99624765478424,0.956312981624185,0.031363682575370845,0.06557543377796851,-0.4457166116457655,-0.3222499876538037,2.7805704574968044,1.7940052768580808
49,0.9972794403420132,0.9599881446354476,0.031330241359962895,0.059066509842809076,0.11090214806921303,0.4950197788281465,3.9948540880847268,2.2560016779068777
50,0.9968260137323488,0.9625370480142265,0.03431179521054356,0.058069729351406175,-0.05478102185734403,0.17687873346827113,3.7516752947262075,2.1671954179439443
51,0.9949021932424422,0.9762299940723177,0.0418611404475067,0.05784093742395066,-0.02315701729114953,-0.024128970252101662,3.248498221454307,2.5635342198574005
52,0.9979518689196109,0.9614107883817428,0.030890122900662235,0.05950257681880248,0.0414491281527762,-0.18458520798343755,4.216024454583834,1.9276832938263968
53,0.9976958525345623,0.9590397154712508,0.025662833314237778,0.05939797529614077,-0.4361403061728789,-0.17170179201861943,3.0252170363180118,1.6727851293095821
54,0.9971556523844106,0.9725548310610551,0.03552009692171225,0.059541006420224314,1.2787828378087958,-0.14769739915451255,4.668502975742495,2.1412398786672675
55,0.9986824769433466,0.9565500889152342,0.02888092752084845,0.05917376362999969,0.4048953244678547,-0.020834572991509526,4.739535514323999,1.7806225006203629
56,0.9977973568281939,0.9682868998221696,0.039524047301230866,0.05707698535127466,-0.14312946716325353,-0.19971680787325483,4.83168508887695,2.2825647876859416
57,0.9947622884770346,0.9809128630705395,0.043288728351446364,0.0626067237879292,-0.18643632728090279,-0.3393824628284532,3.3175280055779277,2.578581504758821
58,0.9957117255504353,0.9788381742738589,0.03666212406036799,0.05759644419194407,0.10205428368951464,0.3280949748346006,3.131180581767031,2.3827095696833984
59,0.9959644874899112,0.9639004149377594,0.037241418202197084,0.057811080840136767,-0.507757624609422,-0.16603927388954165,3.607707494314454,2.0659951310717632
60,0.9953814574067738,0.9742738589211619,0.03825408966386928,0.05615628203174058,0.04421958325958266,-0.08008646166498397,3.141089810954396,2.274877069068556
61,0.9968907889623008,0.9542382928275044,0.0273362538192127,0.05956361694905414,-0.5526147825021569,0.11179679916305818,2.821058269969756,1.7291708141661195
62,0.9979969609062025,0.9656787196206282,0.03847002986271707,0.06200391267286698,-0.3211391859431198,-0.059216986358569784,4.526434866515967,2.4086299373105318
63,0.9965926127845169,0.9695909899229401,0.042162984486608934,0.057896301916763995,-0.4851134553707586,-0.03551737248055983,4.31131305921162,2.5571677576070124
64,0.9963684384285243,0.9662122110254892,0.033750033234482966,0.06020230660179779,0.3546960301761284,-0.15072244756285227,3.2551628344849695,1.8516027094175467
65,0.9970095107363468,0.9786603438055721,0.04066557611395658,0.05914428997115126,0.6672244599473223,-0.2968284007932137,3.3981157257448675,2.2287046106600523
66,0.9949803579223047,0.9708358032009484,0.038462494372360816,0.05588397028802663,-0.07876469270460448,-0.22677585209188547,2.724493864966391,2.018284781735577
67,0.9958333333333332,0.9707765263781861,0.03585625178187159,0.05934984753758552,-0.12502881635743515,-0.0686198102084644,3.165542769692171,2.1746635579391715
68,0.9954225352112676,0.972732661529342,0.034723960924661686,0.055876502968513896,-0.29929681591476553,0.1039888475339282,2.823549108596982,2.1659684079727826
69,0.9944947394176658,0.9790160047421459,0.039480263014649145,0.05685845804936739,-0.063913213134222,0.11966985427542773,3.2399708783003707,2.306078226455858
70,0.9985203120796341,0.9546532305868406,0.029556028008996798,0.057266996671837225,-0.7960543118599503,0.08724589220901427,5.538351567556413,1.889087760087214
71,0.9976134976134976,0.972910491997629,0.03681841633866929,0.06027719695222934,0.3108535633927796,-0.29105978350751815,4.349318838385283,2.297503873395637
72,0.9946782481037436,0.9781861292234736,0.046442227056758184,0.05847867701709255,-0.20166491543922804,-0.09185577267522907,3.6524369887027377,2.4818143535339527
73,0.995382085020243,0.9799051570835804,0.04110951689085612,0.057804397579717885,-0.24765682000233366,0.09651391083990724,3.3553663266079075,2.6898748661107383
74,0.9973085392708588,0.968761114404268,0.03145681830224436,0.05656516992492615,-0.3854302282361834,0.3162249498387375,3.0057218433904693,2.0288155902895797
75,0.9952688944783805,0.9752222880853586,0.03918530496029467,0.05811038668026051,-0.055235563325775894,-0.10008815952628518,3.9659352501062397,2.545264060318662
76,0.997564935064935,0.9704208654416123,0.04188701172728834,0.06042363511325592,0.3312409310093938,-0.10776020614675134,4.899526597091432,2.4562771566751787
