model,fold,AUC,Average precision,Accuracy,Sensitivity,Specificity,Precision,F1,Brier score
Gradient Boosting,4,0.9508928571428572,0.8289677952520721,0.8870967741935484,0.8571428571428571,0.8958333333333334,0.7058823529411765,0.7741935483870968,0.08157468859795679
Gradient Boosting,5,0.8549107142857143,0.8118255717434238,0.8870967741935484,0.6428571428571429,0.9583333333333334,0.8181818181818182,0.72,0.08585855220399326
SVM,1,0.846938775510204,0.7856715928720536,0.8888888888888888,0.7142857142857143,0.9387755102040817,0.7692307692307693,0.7407407407407407,0.09015657234620711
SVM,2,0.8184523809523809,0.7179811611839261,0.8709677419354839,0.5,0.9791666666666666,0.875,0.6363636363636364,0.11012816918296199
SVM,3,0.806547619047619,0.7982024867363212,0.9193548387096774,0.7142857142857143,0.9791666666666666,0.9090909090909091,0.8,0.08305765497542665
SVM,4,0.9583333333333333,0.9209383753501399,0.9354838709677419,0.7142857142857143,1.0,1.0,0.8333333333333334,0.05839988840641006
SVM,5,0.8467261904761905,0.7532164383285646,0.8709677419354839,0.6428571428571429,0.9375,0.75,0.6923076923076923,0.10162032068808088
Gaussian NB,1,0.8724489795918366,0.742320915131975,0.6190476190476191,0.9285714285714286,0.5306122448979592,0.3611111111111111,0.52,0.3462250666074355
Gaussian NB,2,0.8601190476190476,0.7493074490254942,0.5645161290322581,0.8571428571428571,0.4791666666666667,0.32432432432432434,0.47058823529411764,0.40271687126844913
Gaussian NB,3,0.8035714285714286,0.6592996503812443,0.27419354838709675,0.8571428571428571,0.10416666666666667,0.21818181818181817,0.34782608695652173,0.7127136912519318
Gaussian NB,4,0.9561011904761905,0.778171795033803,0.6290322580645161,1.0,0.5208333333333334,0.3783783783783784,0.5490196078431373,0.34932269149644657
Gaussian NB,5,0.7924107142857143,0.7137922103931988,0.46774193548387094,0.8571428571428571,0.3541666666666667,0.27906976744186046,0.42105263157894735,0.48431426784725534
XGBoost,1,0.8556851311953353,0.6721541950113379,0.8412698412698413,0.6428571428571429,0.8979591836734694,0.6428571428571429,0.6428571428571429,0.11887035532973854
XGBoost,2,0.9375,0.8813675470188074,0.9032258064516129,0.7857142857142857,0.9375,0.7857142857142857,0.7857142857142857,0.07991783895889881
XGBoost,3,0.8601190476190477,0.800519535737731,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.08945656492932137
XGBoost,4,0.9583333333333334,0.8515453617344372,0.9032258064516129,0.9285714285714286,0.8958333333333334,0.7222222222222222,0.8125,0.07732738965912343
XGBoost,5,0.831845238095238,0.7894846983082277,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.09143827270433903
Soft Voting Ensemble,1,0.8746355685131195,0.7694003825306345,0.873015873015873,0.7142857142857143,0.9183673469387755,0.7142857142857143,0.7142857142857143,0.09504853746134782
Soft Voting Ensemble,2,0.9300595238095237,0.8595943353306605,0.8870967741935484,0.6428571428571429,0.9583333333333334,0.8181818181818182,0.72,0.07753912224224507
Soft Voting Ensemble,3,0.8422619047619048,0.8232461079314983,0.9193548387096774,0.7142857142857143,0.9791666666666666,0.9090909090909091,0.8,0.08065403117051272
Soft Voting Ensemble,4,0.9806547619047619,0.9411422902494331,0.9032258064516129,0.7857142857142857,0.9375,0.7857142857142857,0.7857142857142857,0.06307854551233866
Soft Voting Ensemble,5,0.8645833333333333,0.8236118024445549,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.08430524597835072
Hard Voting Ensemble,1,0.8483965014577259,0.6698915119967752,0.8888888888888888,0.7142857142857143,0.9387755102040817,0.7692307692307693,0.7407407407407407,0.10920634920634922
Hard Voting Ensemble,2,0.8660714285714285,0.7949857362299759,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.0774193548387097
Hard Voting Ensemble,3,0.8348214285714286,0.7138667783829074,0.9193548387096774,0.7142857142857143,0.9791666666666666,0.9090909090909091,0.8,0.08516129032258064
Hard Voting Ensemble,4,0.9702380952380952,0.8633678351723464,0.9032258064516129,0.7857142857142857,0.9375,0.7857142857142857,0.7857142857142857,0.06322580645161291
Hard Voting Ensemble,5,0.8630952380952381,0.7114011660382629,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.09290322580645162
Stacking Ensemble,1,0.8877551020408163,0.7774137527410796,0.8253968253968254,0.7142857142857143,0.8571428571428571,0.5882352941176471,0.6451612903225806,0.1304551843967525
Stacking Ensemble,2,0.9270833333333333,0.8494330680265361,0.9032258064516129,0.7857142857142857,0.9375,0.7857142857142857,0.7857142857142857,0.10101188239426438
Stacking Ensemble,3,0.8526785714285713,0.8281031893276791,0.8870967741935484,0.7142857142857143,0.9375,0.7692307692307693,0.7407407407407407,0.09796452721310855
Stacking Ensemble,4,0.9657738095238095,0.889492733665666,0.9193548387096774,1.0,0.8958333333333334,0.7368421052631579,0.8484848484848485,0.09920044515094774
Stacking Ensemble,5,0.8794642857142857,0.8204029086382026,0.8870967741935484,0.7142857142857143,0.9375,0.7692307692307693,0.7407407407407407,0.10331890923937827
Weighted Soft Voting Ensemble,1,0.9037900874635568,0.7812087319627974,0.873015873015873,0.6428571428571429,0.9387755102040817,0.75,0.6923076923076923,0.09674954929372057
Weighted Soft Voting Ensemble,2,0.9449404761904763,0.8793749278549641,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.07754859258198164
Weighted Soft Voting Ensemble,3,0.8571428571428571,0.8226889898433589,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.0864139324414157
Weighted Soft Voting Ensemble,4,0.9821428571428571,0.9444102641056422,0.9354838709677419,0.9285714285714286,0.9375,0.8125,0.8666666666666667,0.06857244761330701
Weighted Soft Voting Ensemble,5,0.9092261904761905,0.8476117265087852,0.8870967741935484,0.6428571428571429,0.9583333333333334,0.8181818181818182,0.72,0.08738316123455137
